user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_max,year_first,year_last,grade_first_fra,grade_last_fra,grade_mean_fra
60055,Canada,0,185,78,24.0,3,2015-06-16 22:00:00,2017-09-10 22:00:00,85,59,2015,2017,6a/+,7a+,6c+
22238,Canada,0,178,63,25.0,15,2008-07-15 22:00:00,2010-07-23 22:00:00,20,62,2008,2010,6b/+,8a/+,6c+
12344,Canada,0,195,83,31.0,12,2010-12-01 23:00:00,2011-10-13 22:00:00,8,53,2010,2011,7a+,7a+,7a+/7b
4823,Canada,0,167,63,38.0,16,2003-10-12 22:00:00,2007-09-01 22:00:00,46,58,2003,2007,7b,7c,6b+
22422,Canada,0,182,78,35.0,9,2009-09-03 22:00:00,2010-08-19 22:00:00,8,44,2009,2010,6a+,6b+/6c,5c+
49698,Canada,0,178,73,30.0,5,2013-05-31 22:00:00,2014-06-27 22:00:00,37,46,2013,2014,5a+,6b+/6c,6a
12588,Canada,0,186,78,41.0,17,2006-04-28 22:00:00,2006-04-28 22:00:00,1,44,2006,2006,6b+/6c,6b+/6c,6b+/6c
4051,Canada,0,190,83,37.0,21,2002-06-30 22:00:00,2002-06-30 22:00:00,1,46,2002,2002,6c/+,6c/+,6c/+
4059,Canada,1,167,58,37.0,18,2002-07-13 22:00:00,2005-03-31 22:00:00,30,53,2002,2005,6c/+,7b,6c+
31406,Canada,0,178,63,31.0,9,2009-12-14 23:00:00,2009-12-14 23:00:00,2,53,2009,2009,6c/+,7b,7a/+
31403,Canada,0,173,63,27.0,8,2010-01-17 23:00:00,2017-05-12 22:00:00,49,59,2010,2017,7a+/7b,7b,6c+/7a
34686,Canada,0,180,68,29.0,8,2010-08-20 22:00:00,2011-05-30 22:00:00,4,53,2010,2011,6c/+,7a+,7a
12718,Canada,0,183,78,39.0,13,2006-05-07 22:00:00,2009-11-24 23:00:00,22,51,2006,2009,7a+,7a,6c+
4157,Canada,0,173,73,45.0,16,2003-05-23 22:00:00,2008-03-22 23:00:00,50,53,2003,2008,6b/+,7b,6b/+
4169,Canada,0,186,73,45.0,19,2003-06-08 22:00:00,2004-04-30 22:00:00,16,55,2003,2004,7b,7a,7a+/7b
4170,Canada,0,186,73,37.0,19,2003-07-31 22:00:00,2012-06-14 22:00:00,124,62,2003,2012,7a+,7b+,6c/+
55103,Canada,0,168,68,26.0,4,2014-05-27 22:00:00,2014-05-27 22:00:00,5,32,2014,2014,5,5a+,5a
12638,Canada,1,160,43,34.0,17,2005-11-08 23:00:00,2011-10-31 23:00:00,131,62,2005,2011,6c/+,7b,7a+
4359,Canada,0,163,63,30.0,16,2003-01-01 23:00:00,2003-05-25 22:00:00,7,53,2003,2003,7a+,7a+,7a+
26813,Canada,0,183,73,30.0,12,2009-05-16 22:00:00,2009-05-17 22:00:00,3,49,2009,2009,7a,6b/+,6b+/6c
50972,Canada,0,185,68,35.0,6,2013-11-01 23:00:00,2017-08-22 22:00:00,25,53,2013,2017,7a+,7a+,7a
22559,Canada,0,183,78,38.0,17,2008-06-19 22:00:00,2012-07-29 22:00:00,61,55,2008,2012,7b+,5a+,6a+/6b
22552,Canada,0,188,83,44.0,17,2008-08-22 22:00:00,2008-11-22 23:00:00,4,46,2008,2008,6b+/6c,6c/+,6c
22508,Canada,0,170,68,47.0,26,2008-03-28 23:00:00,2010-07-30 22:00:00,81,59,2008,2010,7c,7b+,7b
13382,Canada,0,185,78,37.0,17,2006-07-11 22:00:00,2011-04-28 22:00:00,44,53,2006,2011,7b,6c/+,6c/+
27161,Canada,0,160,68,26.0,26,2009-06-08 22:00:00,2009-07-09 22:00:00,31,53,2009,2009,7b,6a/+,6b+
2356,Canada,1,162,58,42.0,21,2002-09-07 22:00:00,2007-02-10 23:00:00,8,57,2002,2007,7b,7a,7a+/7b
33974,Canada,0,180,73,28.0,8,2010-10-04 22:00:00,2010-10-04 22:00:00,8,46,2010,2010,6c/+,5a+,5c+
654,Canada,0,171,63,50.0,29,2001-05-05 22:00:00,2016-05-01 22:00:00,251,68,2001,2016,7c+,7a,7c
14475,Canada,0,180,63,39.0,20,2007-07-31 22:00:00,2009-04-05 22:00:00,83,62,2007,2009,5b+,6c/+,6c+
727,Canada,0,175,68,51.0,25,2000-09-16 22:00:00,2000-11-03 23:00:00,4,55,2000,2000,7a+,7b+,7b
33193,Canada,0,170,53,33.0,8,2010-08-10 22:00:00,2010-08-10 22:00:00,1,33,2010,2010,5b+,5b+,5b+
14347,Canada,1,152,48,46.0,23,2006-09-12 22:00:00,2007-10-20 22:00:00,31,55,2006,2007,7a+,6c/+,6c+/7a
53554,Canada,0,180,68,28.0,6,2014-02-01 23:00:00,2014-02-01 23:00:00,1,59,2014,2014,7c+,7c+,7c+
812,Canada,0,175,68,43.0,26,2001-05-25 22:00:00,2005-09-23 22:00:00,35,59,2001,2005,5,7a+,6b+
25366,Canada,0,173,73,39.0,11,2009-02-15 23:00:00,2009-02-05 23:00:00,12,49,2009,2009,7a,6a+/6b,6b+
24425,Canada,0,185,78,39.0,19,2008-02-25 23:00:00,2008-02-28 23:00:00,6,51,2008,2008,7a,7a/+,6c+
25503,Canada,0,165,53,32.0,19,2012-04-17 22:00:00,2017-07-18 22:00:00,119,72,2012,2017,7b,7c+,7c+/8a
32408,Canada,0,167,58,57.0,12,2010-07-06 22:00:00,2013-08-17 22:00:00,3,59,2010,2013,7a+,7c+,7b+
32372,Canada,0,180,73,32.0,10,2010-05-07 22:00:00,2016-10-29 22:00:00,94,62,2010,2016,7a/+,8a/+,6b
32353,Canada,0,185,73,51.0,10,2010-05-21 22:00:00,2017-08-23 22:00:00,962,62,2010,2017,5b+,7b+,6b+
24218,Canada,0,179,58,54.0,26,2006-07-07 22:00:00,2011-10-09 22:00:00,16,49,2006,2011,7a,5,5c+
45379,Canada,0,193,93,31.0,8,2012-09-18 22:00:00,2012-09-19 22:00:00,7,55,2012,2012,7b+,6c/+,7a
32352,Canada,1,170,63,32.0,12,2010-06-04 22:00:00,2010-06-07 22:00:00,4,35,2010,2010,5b+,5c+,5b
25499,Canada,0,168,68,29.0,10,2009-02-25 23:00:00,2013-08-14 22:00:00,28,46,2009,2013,5b+,5,6a/+
25793,Canada,0,170,58,32.0,10,2010-10-01 22:00:00,2010-10-01 22:00:00,3,46,2010,2010,6b/+,6,6b
15153,Canada,0,183,68,38.0,17,2006-09-30 22:00:00,2014-11-20 23:00:00,68,57,2006,2014,7b+,7a,7a+/7b
576,Canada,0,167,58,35.0,20,2000-09-22 22:00:00,2002-03-19 23:00:00,8,59,2000,2002,7a+,7a,7a+/7b
32799,Canada,0,175,58,35.0,9,2010-07-08 22:00:00,2017-07-30 22:00:00,60,59,2010,2017,6b+,6b+/6c,6c+/7a
28,Canada,0,180,68,45.0,29,2000-09-01 22:00:00,2017-08-25 22:00:00,86,64,2000,2017,7b,6c/+,7a/+
25163,Canada,0,170,68,33.0,9,2009-07-08 22:00:00,2009-07-10 22:00:00,28,48,2009,2009,6a+/6b,6a/+,6a+/6b
53866,Canada,0,180,68,33.0,5,2014-06-10 22:00:00,2014-07-05 22:00:00,15,51,2014,2014,6c+/7a,6c/+,6c
32888,Canada,1,163,58,34.0,8,2010-07-19 22:00:00,2011-05-18 22:00:00,44,44,2010,2011,6,6a+/6b,6a
59131,Canada,0,180,73,26.0,7,2015-04-14 22:00:00,2016-11-19 23:00:00,47,59,2015,2016,7c+,7b+,7a+/7b
46039,Canada,0,151,73,31.0,7,2010-09-05 22:00:00,2012-04-16 22:00:00,5,44,2010,2012,6,6a+/6b,6a/+
594,Canada,0,172,73,35.0,19,2001-02-24 23:00:00,2004-10-10 22:00:00,22,70,2001,2004,8b+/8c,8c/+,8b
50378,Canada,0,183,73,27.0,4,2013-07-22 22:00:00,2015-08-17 22:00:00,40,50,2013,2015,6,5b+,6a/+
350,Canada,0,173,63,44.0,24,2002-08-31 22:00:00,2008-06-23 22:00:00,13,62,2002,2008,7a+,8a/+,7a+
25248,Canada,1,170,63,48.0,28,2008-07-13 22:00:00,2012-04-21 22:00:00,286,53,2008,2012,7a,6b+/6c,6a+/6b
382,Canada,0,182,78,39.0,23,2000-12-01 23:00:00,2009-06-28 22:00:00,4,59,2000,2009,7a+,7c+,7b+/7c
15058,Canada,0,181,58,25.0,11,2007-05-25 22:00:00,2011-06-04 22:00:00,8,44,2007,2011,6,5c+,5c+
473,Canada,0,190,73,37.0,21,2000-09-16 22:00:00,2015-04-30 22:00:00,68,70,2000,2015,8a+/8b,7c+,8a+
58998,Canada,0,172,63,23.0,5,2016-11-09 23:00:00,2017-08-24 22:00:00,44,59,2016,2017,7c/+,7c,7a+
24649,Canada,1,170,63,33.0,13,2008-12-27 23:00:00,2008-12-27 23:00:00,3,33,2008,2008,5,5b+,5a
311,Canada,0,175,63,29.0,26,2001-08-03 22:00:00,2002-08-05 22:00:00,5,53,2001,2002,7a,7a+,7a+
25835,Canada,0,177,73,27.0,9,2009-04-21 22:00:00,2010-04-04 22:00:00,3,45,2009,2010,6a,5a,6a
24063,Canada,1,154,43,35.0,10,2009-01-17 23:00:00,2009-03-14 23:00:00,6,55,2009,2009,7a+,7a,7a+
1305,Canada,0,181,73,36.0,17,2001-06-30 22:00:00,2014-09-20 22:00:00,81,68,2001,2014,7a,7b+,7b/+
32100,Canada,0,175,73,26.0,8,2010-08-21 22:00:00,2013-11-27 23:00:00,58,54,2010,2013,6a/+,6b+/6c,6b/+
1836,Canada,0,181,78,37.0,18,2002-02-24 23:00:00,2009-03-19 23:00:00,134,70,2002,2009,8a/+,7c+,7c
32092,Canada,0,160,58,40.0,13,2009-05-16 22:00:00,2010-07-03 22:00:00,7,53,2009,2010,7a+,6b+/6c,6c+/7a
33691,Canada,1,165,53,32.0,7,2010-09-12 22:00:00,2010-09-27 22:00:00,36,46,2010,2010,6a/+,6a/+,6a/+
44834,Canada,0,170,68,29.0,6,2012-08-10 22:00:00,2017-09-10 22:00:00,741,62,2012,2017,7a+,7a+,7a+
23793,Canada,0,175,63,40.0,15,2008-10-13 22:00:00,2013-10-19 22:00:00,66,57,2008,2013,7c,7a+,7b
1978,Canada,0,175,68,39.0,18,2001-10-10 22:00:00,2001-11-10 23:00:00,3,46,2001,2001,6c/+,6c/+,6c/+
1827,Canada,0,187,83,38.0,23,2000-08-10 22:00:00,2010-06-13 22:00:00,30,66,2000,2010,8a/+,7a+,7c/+
13625,Canada,0,175,83,46.0,12,2006-04-07 22:00:00,2007-05-23 22:00:00,13,38,2006,2007,5,5b+,5a+
23750,Canada,0,180,68,32.0,2,2008-08-28 22:00:00,2013-07-17 22:00:00,267,62,2008,2013,6b+/6c,7a,7a
23738,Canada,0,172,78,36.0,12,2008-02-21 23:00:00,2008-02-25 23:00:00,6,51,2008,2008,6c/+,7a+,6c+
13534,Canada,0,178,68,40.0,17,2006-04-10 22:00:00,2006-04-10 22:00:00,1,64,2006,2006,8a+/8b,8a+/8b,8a+/8b
44650,Canada,0,170,68,26.0,8,2012-07-23 22:00:00,2017-08-25 22:00:00,119,59,2012,2017,7a+,7b,7b
54538,Canada,0,187,78,30.0,7,2013-10-22 22:00:00,2013-10-23 22:00:00,3,50,2013,2013,7a/+,6a+/6b,6b+/6c
23647,Canada,1,165,53,29.0,11,2008-09-18 22:00:00,2008-09-18 22:00:00,3,36,2008,2008,6,5a+,5b
54551,Canada,1,170,53,26.0,7,2014-04-25 22:00:00,2015-07-10 22:00:00,53,53,2014,2015,6a/+,6a/+,6b
26156,Canada,1,163,53,34.0,16,2006-04-20 22:00:00,2009-04-08 22:00:00,6,42,2006,2009,6,5b+,6
33645,Canada,0,175,73,36.0,8,2010-09-10 22:00:00,2010-08-11 22:00:00,2,44,2010,2010,6b,6b+/6c,6b/+
13763,Canada,0,170,83,47.0,14,2006-08-19 22:00:00,2009-07-10 22:00:00,20,49,2006,2009,6b,6c,6b/+
33600,Canada,1,156,48,42.0,21,2010-08-22 22:00:00,2010-09-07 22:00:00,4,55,2010,2010,7a+,7a+,7a+/7b
